matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5242907587,1992,GameComplete,False,False
NA1_5242891346,958,GameComplete,True,False
NA1_5241970574,1562,GameComplete,True,False
NA1_5242939378,1804,GameComplete,True,False
NA1_5235039359,1771,GameComplete,False,False
NA1_5232933943,1813,GameComplete,False,False
NA1_5205597496,1347,GameComplete,True,False
NA1_5205568373,1644,GameComplete,False,False
NA1_5205547939,1253,GameComplete,True,False
NA1_5241749901,949,GameComplete,True,False
NA1_5241732785,1151,GameComplete,True,False
NA1_5241549543,1683,GameComplete,False,False
NA1_5241537320,1330,GameComplete,False,False
NA1_5241261152,1211,GameComplete,False,False
NA1_5240465308,1207,GameComplete,False,False
NA1_5240383406,1227,GameComplete,False,False
NA1_5240235950,1150,GameComplete,False,False
NA1_5239784620,1636,GameComplete,False,False
NA1_5239784769,112,GameComplete,False,True
NA1_5239771153,947,GameComplete,True,False
NA1_5239725417,1721,GameComplete,False,False
NA1_5239709746,1848,GameComplete,False,False
NA1_5239683435,1920,GameComplete,False,False
NA1_5239279202,1698,GameComplete,True,False
NA1_5239247854,1347,GameComplete,False,False
NA1_5239221223,1616,GameComplete,False,False
NA1_5239162709,1346,GameComplete,True,False
NA1_5235973386,1291,GameComplete,True,False
NA1_5235965928,942,GameComplete,True,False
NA1_5234557625,1207,GameComplete,False,False
NA1_5234270830,1621,GameComplete,False,False
NA1_5234246199,1298,GameComplete,True,False
NA1_5234067232,1305,GameComplete,False,False
NA1_5230537785,1358,GameComplete,False,False
NA1_5229516708,1779,GameComplete,False,False
NA1_5227032175,1069,GameComplete,True,False
NA1_5227008105,1590,GameComplete,False,False
NA1_5226987178,1148,GameComplete,True,False
NA1_5226705835,1913,GameComplete,False,False
NA1_5226689682,1495,GameComplete,False,False
NA1_5226312554,1490,GameComplete,True,False
NA1_5225250101,1677,GameComplete,False,False
NA1_5225090769,972,GameComplete,True,False
NA1_5224871037,1646,GameComplete,False,False
NA1_5224778986,1327,GameComplete,False,False
NA1_5224601218,1889,GameComplete,False,False
NA1_5224579362,1239,GameComplete,False,False
NA1_5224563876,1293,GameComplete,False,False
NA1_5224451391,1361,GameComplete,True,False
NA1_5223959659,1886,GameComplete,False,False
NA1_5223919181,1442,GameComplete,False,False
NA1_5223897358,1337,GameComplete,True,False
NA1_5216062063,1285,GameComplete,False,False
NA1_5215008504,2594,GameComplete,False,False
NA1_5214996741,1033,GameComplete,True,False
NA1_5214778156,1569,GameComplete,False,False
NA1_5214763412,1112,GameComplete,True,False
NA1_5214294053,2146,GameComplete,True,False
NA1_5214270373,1046,GameComplete,True,False
NA1_5212676247,1980,GameComplete,False,False
NA1_5211842269,1342,GameComplete,True,False
NA1_5211474443,1752,GameComplete,False,False
NA1_5210568601,1542,GameComplete,False,False
NA1_5209184291,1057,GameComplete,False,False
NA1_5208274832,1955,GameComplete,False,False
NA1_5207846886,2392,GameComplete,False,False
