matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5241813390,1025,GameComplete,True,False
NA1_5241792759,1680,GameComplete,False,False
NA1_5240242286,1981,GameComplete,False,False
NA1_5240228667,1495,GameComplete,False,False
NA1_5240204171,2205,GameComplete,False,False
NA1_5240190828,1595,GameComplete,True,False
NA1_5239765661,1769,GameComplete,False,False
NA1_5239742593,1992,GameComplete,False,False
NA1_5237329549,1796,GameComplete,False,False
NA1_5237267067,1657,GameComplete,False,False
NA1_5237247375,1850,GameComplete,False,False
NA1_5237233395,1453,GameComplete,True,False
NA1_5236062740,1807,GameComplete,False,False
NA1_5236023596,1925,GameComplete,False,False
NA1_5236004920,1518,GameComplete,True,False
NA1_5235980738,2193,GameComplete,True,False
NA1_5235615179,276,GameComplete,True,False
NA1_5235254706,1474,GameComplete,True,False
NA1_5217562730,1660,GameComplete,False,False
NA1_5217320610,2144,GameComplete,False,False
NA1_5217292707,2050,GameComplete,False,False
NA1_5217274865,1967,GameComplete,False,False
NA1_5217256955,1518,GameComplete,False,False
NA1_5217238597,1480,GameComplete,False,False
NA1_5217228248,1000,GameComplete,True,False
NA1_5217208247,2338,GameComplete,False,False
NA1_5215693562,944,GameComplete,True,False
NA1_5215666469,2210,GameComplete,False,False
NA1_5215643766,1755,GameComplete,False,False
NA1_5215627851,1014,GameComplete,True,False
NA1_5215440473,2046,GameComplete,False,False
NA1_5215406384,2288,GameComplete,False,False
NA1_5215372083,1495,GameComplete,False,False
NA1_5215340379,1286,GameComplete,True,False
NA1_5215301370,1699,GameComplete,False,False
NA1_5215262437,1619,GameComplete,False,False
NA1_5215230145,1149,GameComplete,True,False
NA1_5206467018,2162,GameComplete,False,False
NA1_5206446825,1238,GameComplete,False,False
NA1_5205694194,2122,GameComplete,False,False
NA1_5205651616,1613,GameComplete,False,False
NA1_5198723646,1652,GameComplete,True,False
NA1_5198696640,1490,GameComplete,False,False
NA1_5197991244,2324,GameComplete,False,False
NA1_5197979934,1655,GameComplete,False,False
NA1_5197959551,1477,GameComplete,True,False
NA1_5145777607,1428,GameComplete,True,False
NA1_5145660201,2049,GameComplete,False,False
NA1_5145305274,3238,GameComplete,False,False
NA1_5143949321,1625,GameComplete,False,False
NA1_5143923048,1662,GameComplete,False,False
NA1_5143808814,1476,GameComplete,False,False
NA1_5142244899,1468,GameComplete,True,False
NA1_5142210762,1593,GameComplete,False,False
NA1_5142167555,1420,GameComplete,False,False
NA1_5142131765,2244,GameComplete,False,False
NA1_5141601643,1647,GameComplete,False,False
NA1_5141572233,1766,GameComplete,False,False
NA1_5141342505,1724,GameComplete,False,False
NA1_5138846496,1071,GameComplete,True,False
NA1_5134879814,1500,GameComplete,False,False
NA1_5134848996,1531,GameComplete,False,False
NA1_5134810592,1714,GameComplete,False,False
NA1_5130786535,1643,GameComplete,True,False
NA1_5128935229,912,GameComplete,True,False
NA1_5125666056,2200,GameComplete,False,False
NA1_5117225446,1574,GameComplete,False,False
NA1_5117209621,410,GameComplete,True,False
NA1_5101567806,1607,GameComplete,False,False
NA1_5098076106,2100,GameComplete,False,False
NA1_5098025354,1628,GameComplete,True,False
NA1_5097225670,1807,GameComplete,False,False
NA1_5097069973,1629,GameComplete,False,False
NA1_5096922622,1664,GameComplete,False,False
NA1_5096848792,1454,GameComplete,False,False
NA1_5092626751,1391,GameComplete,False,False
NA1_5087648883,1417,GameComplete,True,False
NA1_5087522816,1380,GameComplete,True,False
NA1_5086693860,1526,GameComplete,False,False
NA1_5086655367,2100,GameComplete,True,False
NA1_5086643197,1161,GameComplete,True,False
NA1_5086622254,1362,GameComplete,True,False
NA1_5086601339,1627,GameComplete,False,False
NA1_5086584969,948,GameComplete,True,False
NA1_5086570181,1408,GameComplete,True,False
NA1_5086198060,1360,GameComplete,False,False
NA1_5084654986,1438,GameComplete,False,False
NA1_5084022170,1790,GameComplete,False,False
NA1_5083986323,1895,GameComplete,False,False
NA1_5083950832,2128,GameComplete,False,False
NA1_5083335460,1560,GameComplete,True,False
NA1_5083306000,912,GameComplete,True,False
NA1_5083246627,1645,GameComplete,False,False
NA1_5083212060,1419,GameComplete,False,False
NA1_5083138597,1631,GameComplete,False,False
NA1_5082800310,1488,GameComplete,False,False
NA1_5080845720,1679,GameComplete,False,False
NA1_5080713434,1408,GameComplete,False,False
NA1_5080694644,975,GameComplete,True,False
NA1_5079635629,1801,GameComplete,True,False
NA1_5201792895,1338,GameComplete,False,False
NA1_5201760378,1453,GameComplete,True,False
NA1_5201731943,1296,GameComplete,False,False
NA1_5201158517,2120,GameComplete,False,False
NA1_5201146310,1564,GameComplete,False,False
NA1_5199630040,1855,GameComplete,False,False
NA1_5199615748,1566,GameComplete,False,False
NA1_5197965270,1921,GameComplete,False,False
NA1_5197944172,969,GameComplete,True,False
NA1_5194888209,1451,GameComplete,True,False
NA1_5194877010,1361,GameComplete,True,False
NA1_5194854047,1865,GameComplete,False,False
NA1_5194822324,1669,GameComplete,False,False
NA1_5194790940,2037,GameComplete,False,False
NA1_5194765489,1310,GameComplete,False,False
NA1_5193231259,1315,GameComplete,True,False
NA1_5192039002,1550,GameComplete,False,False
NA1_5192013630,1671,GameComplete,False,False
NA1_5191931268,1926,GameComplete,False,False
NA1_5191912033,1522,GameComplete,False,False
NA1_5156224974,1939,GameComplete,False,False
NA1_5241237483,1998,GameComplete,False,False
NA1_5241197504,2441,GameComplete,False,False
NA1_5241172061,1399,GameComplete,True,False
NA1_5241120680,1994,GameComplete,False,False
NA1_5240671331,948,GameComplete,True,False
NA1_5240645984,1886,GameComplete,False,False
NA1_5238034917,1408,GameComplete,True,False
NA1_5238000944,1575,GameComplete,True,False
NA1_5236992361,1858,GameComplete,False,False
NA1_5236963113,2072,GameComplete,False,False
NA1_5236913552,2159,GameComplete,True,False
NA1_5236862605,2409,GameComplete,False,False
NA1_5236830003,2071,GameComplete,False,False
NA1_5236406052,1018,GameComplete,True,False
NA1_5236383270,1326,GameComplete,True,False
NA1_5236239149,2211,GameComplete,True,False
NA1_5235656710,2325,GameComplete,False,False
NA1_5235609269,2228,GameComplete,False,False
NA1_5235550609,2151,GameComplete,False,False
NA1_5234458349,1773,GameComplete,False,False
NA1_5234282667,2182,GameComplete,False,False
NA1_5234251952,1677,GameComplete,False,False
NA1_5233656424,1754,GameComplete,False,False
NA1_5233621371,1775,GameComplete,True,False
NA1_5232943817,2069,GameComplete,False,False
NA1_5232913091,1497,GameComplete,True,False
NA1_5232877842,1412,GameComplete,False,False
NA1_5232829804,2651,GameComplete,False,False
NA1_5232240819,1541,GameComplete,False,False
NA1_5232147454,1759,GameComplete,False,False
NA1_5232103303,1667,GameComplete,True,False
NA1_5227062508,1381,GameComplete,False,False
NA1_5227029513,1897,GameComplete,False,False
NA1_5226998276,1503,GameComplete,False,False
NA1_5226962266,1730,GameComplete,False,False
NA1_5226940996,918,GameComplete,True,False
NA1_5226894790,2103,GameComplete,False,False
NA1_5226855574,1594,GameComplete,False,False
NA1_5226660288,2146,GameComplete,False,False
NA1_5226595988,1530,GameComplete,False,False
NA1_5226584142,2290,GameComplete,False,False
NA1_5226377659,2368,GameComplete,False,False
NA1_5226345633,1744,GameComplete,False,False
NA1_5181442135,1128,GameComplete,True,False
NA1_5180563031,1759,GameComplete,True,False
NA1_5180505615,2140,GameComplete,False,False
NA1_5180046437,2133,GameComplete,False,False
NA1_5179991890,1479,GameComplete,False,False
NA1_5179981625,1156,GameComplete,True,False
NA1_5132895608,1971,GameComplete,False,False
NA1_5132862533,1760,GameComplete,True,False
NA1_5132205673,1775,GameComplete,False,False
NA1_5132163685,2431,GameComplete,False,False
NA1_5132125720,2496,GameComplete,True,False
NA1_5131594191,1359,GameComplete,True,False
NA1_5131578078,914,GameComplete,True,False
NA1_5033782702,1231,GameComplete,False,False
NA1_5024897578,1766,GameComplete,False,False
NA1_5024870115,1824,GameComplete,False,False
NA1_5024838718,1352,GameComplete,True,False
NA1_5015206483,1360,GameComplete,False,False
NA1_5015166691,2017,GameComplete,False,False
NA1_5010236410,1961,GameComplete,False,False
NA1_5010209976,1642,GameComplete,False,False
NA1_5010199361,192,GameComplete,False,True
NA1_5010169005,1731,GameComplete,True,False
NA1_5007606884,1573,GameComplete,False,False
NA1_5007554503,2394,GameComplete,False,False
NA1_5007516768,1747,GameComplete,False,False
NA1_5007431197,1090,GameComplete,True,False
NA1_5007093537,1282,GameComplete,False,False
NA1_5006839897,1494,GameComplete,False,False
NA1_5006381892,2156,GameComplete,False,False
NA1_5006359188,1175,GameComplete,True,False
NA1_5006274566,1341,GameComplete,False,False
NA1_5006271607,991,GameComplete,True,False
NA1_5006262501,1500,GameComplete,True,False
NA1_5006069804,1624,GameComplete,False,False
NA1_5006024974,1576,GameComplete,False,False
NA1_5005977574,1647,GameComplete,False,False
NA1_5005961566,1025,GameComplete,True,False
NA1_5005933542,1523,GameComplete,False,False
NA1_5005298445,1949,GameComplete,False,False
NA1_5005265139,1870,GameComplete,True,False
NA1_5005233004,1746,GameComplete,True,False
NA1_5003821127,1519,GameComplete,False,False
NA1_5003209776,2064,GameComplete,False,False
NA1_5003194096,452,GameComplete,True,False
NA1_5000255844,1234,GameComplete,False,False
NA1_5000216187,1997,GameComplete,True,False
NA1_5000182805,1663,GameComplete,False,False
NA1_4999693287,1775,GameComplete,False,False
NA1_4999649070,1236,GameComplete,True,False
NA1_4998936736,1848,GameComplete,False,False
NA1_4998910732,2029,GameComplete,False,False
NA1_4998676460,2988,GameComplete,False,False
NA1_4994521186,1245,GameComplete,True,False
NA1_4992697551,1441,GameComplete,False,False
NA1_5030382706,1369,GameComplete,False,False
NA1_5030050414,1301,GameComplete,False,False
NA1_5030033983,1367,GameComplete,False,False
NA1_5020905666,1234,GameComplete,False,False
NA1_5020898437,1328,GameComplete,False,False
NA1_5020882692,1257,GameComplete,False,False
NA1_5020864585,1241,GameComplete,False,False
NA1_5020852224,1251,GameComplete,False,False
NA1_5020830258,1456,GameComplete,False,False
NA1_5020809067,1376,GameComplete,False,False
NA1_5020779711,1349,GameComplete,False,False
NA1_5020756899,1401,GameComplete,False,False
NA1_5020727404,1362,GameComplete,False,False
NA1_5020703366,1362,GameComplete,False,False
NA1_4867452728,1041,,False,False
NA1_4853101196,946,,False,False
NA1_4853084526,903,,False,False
NA1_4853066574,877,,False,False
NA1_4853048898,900,,False,False
NA1_4853027876,1059,,False,False
NA1_4815794573,1877,,False,False
NA1_4815770947,1967,,False,False
NA1_4815758233,1013,,True,False
NA1_4815752856,934,,True,False
NA1_4798613085,2661,,False,False
NA1_4798575546,1831,,False,False
NA1_4798551919,1538,,False,False
NA1_4798506525,2418,,False,False
NA1_5244816911,2272,GameComplete,False,False
NA1_5244798579,873,GameComplete,True,False
NA1_5244259963,1889,GameComplete,False,False
NA1_5243518203,1328,GameComplete,True,False
NA1_5243490599,1669,GameComplete,False,False
NA1_5243380644,2186,GameComplete,False,False
NA1_5242987983,2071,GameComplete,False,False
NA1_5242885718,1079,GameComplete,True,False
NA1_5242803237,1979,GameComplete,True,False
NA1_5242368971,1469,GameComplete,False,False
NA1_5242350575,916,GameComplete,True,False
